ID,Genus,Species,Family,Order,Class,Keyingpoint,Lifehistorypoint,Initials,Redlist,Dansk navn ,Team,Members,Quizpoint
1,Rutpela,maculata,Cerambycidae,Coleoptera,Insecta,2,1,ABB,,sydlig blomsterbuk,5. Arachnitten,4,18
2,Coccinella,septempunctata,Coccinellidae,Coleoptera,Insecta,1,,ABB,,Syvplettet mariehøne,
3,Tettigonia,viridissima,Tettigoniidae,Orthoptera,Insecta,1,5,SK,,Stor grøn løvgræshoppe,
4,Phalangium,opolio,Phalangiidae,Opiliones,Arachnida,2,,SK,,Hornmejer,
5,Crabro,cribrarius,Crabronidae,Hymenoptera,Insecta,2,,ABB,,,
6,Adscita,statices,Zygaenidae,Lepidoptera,Insecta,1,1,ABB,,Grøn køllesværmer,
7,Enoplognatha,ovata,Theridiidae,Araneae,Arachnida,1,,SK,,Perleedderkop,
8,Geotrupes,spininger,Geotrupidae,Coleoptera,Insecta,2,,ABB,,Markskarnbasse,
9,Episyrphus,balteatus,Syrphidae,Diptera,Insecta,2,6,ABB,,Dobbeltbåndet svirreflue,
10,Forficula,auricularia,Dermaptera,Coleoptera,Insecta,2,,ABB,,Almindelig ørentvist,
11,Himacerus ,mirmicoides,Nabidae,Hemiptera,Insecta,2,10,ABB,,Myrenymfetæge  (livshistorie point for mimicry med myrer) ,
12,Pholidoptera,griseoaptera,Tettigoniidae,Orthoptera,Insecta,2,5,ABB,,Buskgræshoppe,
13,Rhagonycha,Fulva,Cantharidae,Coleoptera,Insecta,2,,ABB,,,
14,Piezodorus,lituratus,Pentatomidea,Hemiptera,Insecta,1,5,SK,,Gyvelbredtæge,
15,Aelia,acuminata,Pentatomidea,Hemiptera,Insecta,1,,ABB,,Almindelig bispetæge,
16,Lampyris,noctiluca,Lampyridae,Coleoptera,Insecta,1,10,ABB,,Sankthansorm,
17,Araneus,quadratus,Araneidae,Araneae,Arachnida,3,,SK,,Kvadratedderkop,
18,Pieris,napi,Pieridae,Lepidoptera,Insecta,1,,ABB,,Grønåret kålsommerfugl,
19,Gonepteryx,rhamni,Pieridae,Lepidoptera,Insecta,1,,ABB,,Citronsommerfugl,
20,Argiope,bruennichi,Araneidae,Araneae,Arachnida,1,10,SK,,Hvepseedderkop,
21,Leptopterna,dolabrata,Miridae,Hemiptera,Insecta,2,,ABB,,,
22,Lithobius,forficatus,Lithobiidae,Chilopoda,Myriapoda,2,,ABB,,Stenskolopender,
23,Oniscus,asellus,Oniscidea,Isopoda,Crustacea,2,,SK,,Glat bænkebider,
